0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Turkic_Probability,Prediction
Armenia_Beniamin_Sasanian.SG:R11543.SG,0.108132,0.144205,-0.058454,-0.056848,-0.028621,-0.016455,0.00235,-0.004154,-0.037428,0.00492,0.006983,0.004496,-0.012636,-0.000275,-0.007057,0.007558,0.031944,-0.006588,-0.002765,0.006878,0.002246,0.01051,0.003204,-0.000482,-0.000718,3.9433296e-10,Not Turkic
Armenia_Beniamin_Sasanian.SG:R11544.SG,0.102441,0.135065,-0.043746,-0.052649,-0.03139,-0.020638,0.010575,-0.001385,-0.045609,-0.016583,-0.002598,0.00045,0.002081,0.013074,-0.015608,-0.005701,0.003912,0.000127,0.005405,0.001251,0.010107,0.002226,-0.002465,0.001325,-0.00491,1.3532404e-07,Not Turkic
Armenia_Beniamin_Urartu_IA.SG:R11535.SG,0.104717,0.133034,-0.048271,-0.019703,-0.027082,0.001952,0.000705,0.000231,-0.043359,-0.022233,0.002436,0.006594,-0.006244,-0.00523,0.004886,0.000663,0.005476,-0.006841,-0.004902,0.0,0.005366,0.003833,-0.002218,0.00253,-0.000718,5.688611e-07,Not Turkic
Armenia_C_Areni:I1407,0.110408,0.133034,-0.038466,-0.031331,-0.028928,-0.008646,-0.000705,-0.003692,-0.031088,-0.007472,0.013965,0.013188,-0.007879,-0.010046,-0.004207,0.005038,0.00339,0.005828,0.005028,-0.010505,0.000873,0.001113,-0.005423,-0.00723,-0.000599,2.607491e-07,Not Turkic
Armenia_C_Areni:I1631,0.113823,0.136081,-0.027907,-0.01615,-0.026466,-0.004183,0.00235,-0.009692,-0.024338,-0.016583,0.010068,-0.00015,-0.008176,0.010597,-0.004479,-0.014717,-0.01369,0.000633,-0.009553,-0.000375,0.001747,0.008656,0.003821,-0.007109,0.004191,3.4448988e-08,Not Turkic
Armenia_C_Areni:I1632,0.105855,0.136081,-0.034695,-0.03876,-0.02462,-0.006693,0.006345,-0.006923,-0.021884,-0.000364,0.006333,0.006444,-0.011447,-0.006331,-0.0038,-0.011403,-0.009648,0.00266,0.004274,-0.005002,-0.003369,0.008037,0.001972,-0.000361,0.00467,7.5578896e-08,Not Turkic
Armenia_C_Areni:I1634,0.112685,0.129988,-0.031678,-0.02261,-0.033237,-0.010877,-0.000705,-0.007846,-0.02577,0.000729,0.001137,0.010341,-0.007136,-0.003165,-0.00285,-0.018165,-0.014603,0.00266,0.003017,-0.011005,-0.006114,-0.000124,0.003204,0.0,0.001557,1.4010385e-07,Not Turkic
Armenia_EarlyMedieval:I1630,0.102441,0.133034,-0.057699,-0.057494,-0.026466,-0.005857,0.003995,-0.000923,-0.020452,-0.003827,0.008607,0.002398,-0.005054,-0.001651,-0.0019,-0.000398,0.004563,0.008108,0.006411,-0.005002,0.002496,-0.006801,0.005176,0.006145,0.000359,8.195145e-08,Not Turkic
Armenia_EarlyMedieval:I1659,0.105855,0.131003,-0.05506,-0.046189,-0.030159,-0.002231,-0.00611,-0.005769,-0.034769,-0.004374,-0.00682,-0.001948,-0.0055,0.001376,0.003122,-0.006497,-0.008866,-0.000633,0.003645,0.000125,-0.001373,-0.000371,-0.007518,-0.00241,0.005987,7.978196e-06,Not Turkic
Armenia_EarlyMedieval:I1660,0.108132,0.135065,-0.049403,-0.046512,-0.033852,-0.013945,0.00047,-0.014538,-0.038041,-0.009659,0.00406,0.004946,-0.010852,0.001514,0.005157,-0.00358,-0.001173,0.001267,0.001634,0.003126,0.003868,0.006059,-0.000123,-0.002892,0.004071,2.26568e-07,Not Turkic
