0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Turkic_Probability,Prediction
Turkish_Crete,0.108587,0.142987,-0.015009,-0.04367,0.007571,-0.014168,0.001739,-0.001985,-0.001186,0.015782,0.002014,0.002428,-0.000684,0.003248,-0.014332,-0.002678,0.002973,0.000456,0.004148,-0.003126,-0.004667,0.002325,-0.000222,0.001807,-0.000742,0,Turkic
Turkish_Deliorman,0.112159,0.100381,0.01874,-0.00164,0.008877,-0.000472,0.006183,0.005876,-0.006104,-0.000491,-0.000912,-0.002202,0.002733,0.008723,-0.008989,-0.002315,0.003601,0.003508,0.001992,-0.002876,-0.004857,0.000304,-0.000939,0.000204,0.000405,0,Turkic
Turkish_Denizli,0.094636,0.060932,-0.016001,-0.031424,-0.021631,-0.012032,0.004096,-0.000593,-0.017151,0.002343,-0.001508,0.001413,-0.002039,0.000197,-0.007019,0.001553,0.007078,0,0.001885,-0.002322,-0.00697,0.000106,-0.001637,-0.000689,-0.003387,0,Turkic
Turkish_Dodecanese,0.097319,0.086828,-0.019987,-0.04199,-0.010156,-0.016455,0.003525,-0.001154,-0.006852,0.006469,0.000244,-0.000674,0.00275,0.003922,-0.013029,-0.003182,-0.007562,0.000443,0.000503,-0.006316,-0.000624,-0.003895,-0.000986,-0.002832,0.002275,0,Turkic
Turkish_Erzurum,0.103124,0.121762,-0.054532,-0.047287,-0.034191,-0.010709,0.004489,-0.005192,-0.036548,-0.007053,0.001526,0.002788,-0.008771,0.002106,-0.002389,-0.006325,-0.000743,0.000798,0.001559,-0.000338,0.003544,-0.00042,-0.001208,-0.00441,-0.002251,0,Turkic
Turkish_Giresun,0.098508,0.046437,-0.02129,-0.035971,-0.030131,-0.013843,0.005192,0.000042,-0.024654,-0.002618,-0.002259,0.004496,-0.008366,0.00259,-0.006058,0.000663,0.006069,-0.000253,0.000194,0.001114,-0.004469,0.002878,-0.004325,-0.001293,0.000479,0,Turkic
Turkish_Jew,0.091912,0.145221,-0.020113,-0.058517,0.006847,-0.021149,-0.004025,-0.003634,0.010201,0.018945,0.004188,0.000531,0.001876,-0.000803,-0.004914,-0.001597,-0.000755,-0.000454,-0.003588,-0.003408,-0.002511,-0.004003,0.004144,0.001074,0.001622,0,Turkic
Turkish_Kayseri,0.099514,0.093864,-0.034129,-0.043513,-0.024818,-0.012809,0.004482,-0.000676,-0.022746,0.001341,-0.001113,0.00122,-0.00378,0.00174,-0.004518,-0.000322,0.000084,0.000778,0.001401,-0.002957,-0.000811,0.001599,-0.002007,-0.002264,-0.000402,0,Turkic
Turkish_Konya,0.099481,0.082156,-0.026587,-0.041344,-0.021512,-0.014028,0.001833,-0.001846,-0.017282,0.000711,0.001819,0.002098,-0.002869,0.001541,-0.004967,0.000013,0.002725,0.000925,0.003331,-0.001988,-0.004267,0.001867,-0.002724,-0.000096,-0.000707,0,Turkic
Turkish_Lesbos,0.103579,0.075149,-0.006411,-0.032946,-0.004308,-0.009482,0.002115,-0.003231,-0.012271,0.005467,-0.002436,0.000749,-0.005054,-0.003578,-0.012758,0.016839,0.017471,-0.000633,0.000126,0.005002,-0.001373,-0.000618,0.001356,-0.003374,-0.006227,0,Turkic
Turkish_Nevsehir,0.094094,0.094444,-0.031049,-0.038545,-0.021645,-0.011527,0.002663,-0.000231,-0.019771,-0.003159,-0.000974,-0.001299,0.000248,0.00156,-0.005565,-0.004066,0.003825,0.000296,-0.003268,-0.000083,-0.000915,-0.001443,-0.004314,-0.003615,0.001197,0,Turkic
